,created_at,id,text,text_nsw
32,2021-11-26 16:59:07+00:00,1464277550079823879,"pfizer board room: 
""how can we sell vaccines to africa?"" 
small voice in back: ""say there's  an african variant, really bad.""","pfizer board room: "" sell vaccines africa?"" small voice back: ""say ' african variant, really bad."""
0,2021-11-26 17:59:07+00:00,1464292649591001091,the nu scariant of covid-19 #scariant #covidvariant #covid19 https://t.co/uprdzjcj8h, nu scariant covid-19 #scariant #covidvariant #covid19 https://.co/uprdzjcj8h
1,2021-11-26 17:59:07+00:00,1464292649838514176,"@birdyword @cmjornal @govpt @saude_pt @who_europe @ecdc_eu this is the last vaccination report, 14 nov 2020 (% full… https://t.co/za3jg1vxsw","@birdyword @cmjornal @govpt @saude_pt @who_europe @ecdc_eu last vaccination report, 14 nov 2020 (% full… https://.co/za3jg1vxsw"
2,2021-11-26 17:59:07+00:00,1464292650689966084,try using the ‘tousanticovid’ app and scan your qr code. save to the wallet. this works.,try using ‘tousanticovid’ app scan qr code. save wallet. works.
3,2021-11-26 17:59:08+00:00,1464292652845830152,"i dont know how dangerous the 'nu' variant or new south african #covid variant will be, but surely mutation is an o… https://t.co/no96dfbrcj"," dont know dangerous 'nu' variant new south african #covid variant , surely mutation … https://.co/no96dfbrcj"
4,2021-11-26 17:59:09+00:00,1464292657547653120,another covid remix 🙃,another covid remix 🙃
5,2021-11-26 17:59:10+00:00,1464292663562227716,"@officialplt #pinkfridaywithplt hey plt, me and my bestie haven’t seen each other in over a year because of covid😩… https://t.co/zat5aqkt3o","@officialplt #pinkfridaywithplt hey plt, bestie ’ seen year covid😩… https://.co/zat5aqkt3o"
6,2021-11-26 17:59:11+00:00,1464292665785159680,"masks and vaccinations are not adequate enough if you ignore distancing.

#covid19 is an airborne virus that spread… https://t.co/qtpp1o2gmb",masks vaccinations adequate enough ignore distancing. #covid19 airborne virus spread… https://.co/qtpp1o2gmb
7,2021-11-26 17:59:13+00:00,1464292673842335747,"given how often i find covid patients triaged to indoor waiting room chairs or beds in rooms without doors,
i can n… https://t.co/nnkqtqdz7p","given often find covid patients triaged indoor waiting room chairs beds rooms without doors, n… https://.co/nnkqtqdz7p"
8,2021-11-26 17:59:13+00:00,1464292675855605765,"@learningsoul_ @wtf_1234567890a nope.
the whole definition of pandemic is weaponized in such away that pre-covid fl… https://t.co/sn1q21rbfj",@learningsoul_ @wtf_1234567890a nope. whole definition pandemic weaponized away pre-covid fl… https://.co/sn1q21rbfj
9,2021-11-26 17:59:13+00:00,1464292676518531076,@beccascope why then don't we have an injection for every virus out there?  i am not anti-vaccination.  what i am t… https://t.co/5oatkuwasx,@beccascope ' injection every virus ? anti-vaccination. … https://.co/5oatkuwasx
10,2021-11-26 17:59:15+00:00,1464292682470203392,i been telling my parents that id rather give my covid vaccine to somebody in africa. but only now that it affects… https://t.co/tsbo6eximo, telling parents id rather give covid vaccine somebody africa. affects… https://.co/tsbo6eximo
11,2021-11-26 17:59:15+00:00,1464292682700922891,@cursedviking69 i dont think its covid. ive been super busy and i think i just got exhausted and picked up a stomach virus thing.,@cursedviking69 dont think covid. ive super busy think got exhausted picked stomach virus thing.
12,2021-11-26 17:59:17+00:00,1464292690896502791,"no one: 
israel: a new covid strain was found quick get a pfizer jab so we can make more money", one: israel: new covid strain found quick get pfizer jab make money
13,2021-11-26 17:59:18+00:00,1464292694318927874,@jerrymcphers @djrothkopf @malcolmnance true. but the covid relief legislation where over 70% of small businesses r… https://t.co/4jc6w0tm0i,@jerrymcphers @djrothkopf @malcolmnance true. covid relief legislation 70% small businesses r… https://.co/4jc6w0tm0i
14,2021-11-26 17:59:18+00:00,1464292697557061637,@bbcpolitics the african covid variant is already here it came on an earlier flight a couple of days ago before the… https://t.co/yzwzezls6k,@bbcpolitics african covid variant already came earlier flight couple days ago … https://.co/yzwzezls6k
15,2021-11-26 17:59:20+00:00,1464292704456785927,#covidvariant #vaccination new covid variant b.1.1.529,#covidvariant #vaccination new covid variant b.1.1.529
16,2021-11-26 17:59:21+00:00,1464292710022623239,who labels newly identified #covid strain as omicron  #covidvariant #covid19, labels newly identified #covid strain omicron #covidvariant #covid19
17,2021-11-26 17:59:23+00:00,1464292715642953733,when i grow up i want to be smart like covid 19.🥺, grow want smart like covid 19.🥺
18,2021-11-26 17:59:23+00:00,1464292715961544704,you only have to worry about covid if you were dumb enough to do what justin trudeau and his msm army told you to d… https://t.co/1a5xdeducs, worry covid dumb enough justin trudeau msm army told … https://.co/1a5xdeducs
19,2021-11-26 17:59:23+00:00,1464292716175626243,"“you’re a tosser” i’m speechless 😮 you won’t believe what 🇦🇺 chief just said

via @celebrityradio #freedom #covid 

https://t.co/c8hiux3sb0",“’ tosser” ’ speechless 😮 ’ believe 🇦🇺 chief said via @celebrityradio #freedom #covid https://.co/c8hiux3sb0
20,2021-11-26 17:59:23+00:00,1464292717144547334,"@draconicintel @roman_baber @justintrudeau @fordnation a politician  just died  from covid-19,  she was  double vac… https://t.co/kkhhsyufzn","@draconicintel @roman_baber @justintrudeau @fordnation politician died covid-19, double vac… https://.co/kkhhsyufzn"
